ScreenshotID,Route,PageTitle,ObjectiveCodes,ProgressStatus,ReportSection,ScreenshotFile,Notes
AUTH-01,/login,Secure Staff Login and Access Gateway,"OBJ-06|OBJ-02",Implemented,Staff Access,AUTH-01-login.png,
AUTH-02,/change-password,First-Access Credential Hardening Screen,OBJ-06,Implemented,Staff Access,AUTH-02-change-password.png,
PUB-01,/apply,Public Online Admission Portal and Submission Workspace,"OBJ-01|OBJ-02",Implemented,Public Journey,PUB-01-apply.png,
PUB-02,/learner,Learner Self-Service Record Access Portal,OBJ-04,Implemented,Public Journey,PUB-02-learner-portal.png,
REG-01,/dashboard,Registrar and Administrator Operations Dashboard,"OBJ-02|OBJ-06",Implemented,Registrar Workflow,REG-01-dashboard.png,
REG-02,/f2f-early-registration,Face-to-Face Early Registration Encoding Workflow,"OBJ-01|OBJ-02",Implemented,Registrar Workflow,REG-02-f2f-early-registration.png,
REG-03,/early-registration,Early Registration Monitoring and Case Review Desk,"OBJ-02|OBJ-03",Implemented,Registrar Workflow,REG-03-early-registration-list.png,
REG-04,/early-registration/pipelines,Registration Pipeline Board by Curriculum Segment,"OBJ-02|OBJ-03",Implemented,Registrar Workflow,REG-04-registration-pipelines.png,
REG-05,/early-registration/:id,Applicant Full Record Review and Action Workspace,"OBJ-02|OBJ-03",Implemented,Registrar Workflow,REG-05-application-detail.png,
REG-06,/enrollment,Enrollment Finalization and Confirmation Queue,OBJ-02,Implemented,Registrar Workflow,REG-06-enrollment.png,
REG-07,/enrollment/requirements,Documentary Requirements Policy Reference Interface,OBJ-02,Implemented,Registrar Workflow,REG-07-documentary-requirements.png,
REG-08,/students,SIMS Student Directory and Search Console,OBJ-04,Implemented,Registrar Workflow,REG-08-students-directory.png,
REG-09,/students/:id,SIMS Student Profile and Longitudinal Record View,OBJ-04,Implemented,Registrar Workflow,REG-09-student-profile.png,
REG-10,/sections,Section Capacity and Structure Management Workspace,"OBJ-02|OBJ-05",Implemented,Registrar Workflow,REG-10-sections.png,
REG-11,/settings,Dynamic School Configuration and Annual Setup Console,OBJ-05,Implemented,Registrar Workflow,REG-11-settings.png,
ADM-01,/teachers,Teacher Directory and Account-Ready Profile Management,"OBJ-02|OBJ-06",Implemented,System Administration,ADM-01-teachers.png,
ADM-02,/admin/users,System User Administration and Access Control Center,OBJ-06,Implemented,System Administration,ADM-02-admin-users.png,
ADM-03,/audit-logs,Audit Trail Monitoring Workspace,OBJ-06,WIP Placeholder,System Administration,ADM-03-audit-logs.png,Interface scaffold complete; logic pending
ADM-04,/admin/email-logs,Email Delivery Monitoring Console,OBJ-06,WIP Placeholder,System Administration,ADM-04-email-logs.png,Interface scaffold complete; logic pending
ADM-05,/admin/system,System Health and Service Status Panel,OBJ-06,WIP Placeholder,System Administration,ADM-05-system-health.png,Interface scaffold complete; logic pending
